flow_peak_datetime,peak_flow_m3s,baseline_duration_class,duration_class_stability,baseline_rainfall_structure,rainfall_structure_stability,baseline_hydrograph_structure,hydrograph_structure_stability
1992-11-02 09:00:00,25.787,intermediate,1.0,multi-burst,1.0,multi-peak,1.0
1992-11-27 20:00:00,19.023,prolonged,1.0,multi-burst,1.0,single-peak,0.6666666666666666
1993-01-23 21:00:00,30.035,prolonged,1.0,multi-burst,1.0,multi-peak,0.8888888888888888
1993-05-15 03:00:00,54.639,intermediate,0.6666666666666666,multi-burst,1.0,single-peak,1.0
1993-10-07 18:30:00,54.554,prolonged,0.6666666666666666,multi-burst,1.0,multi-peak,1.0
1993-12-09 06:00:00,18.297,prolonged,1.0,multi-burst,1.0,multi-peak,0.75
1993-12-29 11:00:00,19.418,prolonged,1.0,multi-burst,1.0,single-peak,1.0
1994-02-27 21:30:00,19.588,prolonged,1.0,multi-burst,1.0,single-peak,1.0
1994-03-03 08:30:00,20.096,prolonged,1.0,multi-burst,1.0,multi-peak,1.0
1994-03-23 10:30:00,18.491,intermediate,1.0,multi-burst,0.8888888888888888,single-peak,1.0
1994-12-12 04:00:00,24.469,intermediate,0.6666666666666666,multi-burst,1.0,single-peak,1.0
1995-01-31 11:30:00,19.674,concentrated,1.0,single-burst,0.75,multi-peak,1.0
1995-11-15 16:30:00,38.456,concentrated,1.0,single-burst,0.8333333333333334,multi-peak,0.4444444444444444
1996-12-18 16:30:00,19.532,concentrated,0.6666666666666666,multi-burst,0.5,single-peak,0.6666666666666666
1997-02-17 20:00:00,19.731,intermediate,1.0,multi-burst,0.7777777777777778,single-peak,1.0
1997-07-01 08:00:00,26.905,prolonged,1.0,multi-burst,0.7777777777777778,single-peak,1.0
1997-12-11 10:00:00,23.422,prolonged,1.0,multi-burst,1.0,multi-peak,0.6666666666666666
1998-04-05 10:00:00,19.22,prolonged,1.0,multi-burst,1.0,multi-peak,1.0
1998-10-16 16:45:00,21.442,prolonged,0.6666666666666666,multi-burst,1.0,multi-peak,1.0
1998-11-03 01:00:00,30.406,concentrated,1.0,single-burst,1.0,single-peak,1.0
1998-12-27 02:00:00,21.619,prolonged,0.6666666666666666,multi-burst,1.0,multi-peak,1.0
1999-01-19 15:15:00,23.179,intermediate,1.0,multi-burst,0.9722222222222222,single-peak,1.0
1999-11-05 11:30:00,21.413,intermediate,0.6666666666666666,multi-burst,0.5833333333333334,multi-peak,0.75
1999-11-28 10:45:00,26.232,prolonged,1.0,multi-burst,1.0,multi-peak,0.8888888888888888
1999-12-03 10:30:00,23.422,prolonged,1.0,multi-burst,1.0,multi-peak,1.0
1999-12-12 08:15:00,35.714,prolonged,1.0,multi-burst,1.0,single-peak,1.0
1999-12-25 01:15:00,20.103,prolonged,1.0,multi-burst,1.0,multi-peak,1.0
2000-04-26 23:45:00,88.08,prolonged,0.6666666666666666,multi-burst,1.0,multi-peak,0.6666666666666666
2000-11-07 11:45:00,50.571,intermediate,1.0,multi-burst,0.8888888888888888,single-peak,0.7777777777777778
2000-12-08 08:15:00,31.667,prolonged,1.0,multi-burst,0.5555555555555556,single-peak,0.6666666666666666
2001-02-06 21:30:00,24.656,prolonged,1.0,multi-burst,1.0,single-peak,1.0
2001-03-11 23:45:00,20.017,concentrated,1.0,single-burst,1.0,single-peak,1.0
2001-08-19 23:30:00,21.207,intermediate,1.0,multi-burst,1.0,single-peak,0.8888888888888888
2002-01-24 06:45:00,19.759,prolonged,1.0,multi-burst,1.0,multi-peak,1.0
2002-08-03 05:00:00,23.728,prolonged,1.0,multi-burst,1.0,multi-peak,1.0
2002-10-22 20:15:00,38.53,intermediate,0.6666666666666666,multi-burst,1.0,multi-peak,1.0
2002-11-15 00:00:00,35.104,intermediate,0.6666666666666666,multi-burst,0.8888888888888888,single-peak,1.0
2004-02-01 22:30:00,18.77,prolonged,0.6666666666666666,multi-burst,1.0,multi-peak,0.6666666666666666
2004-06-24 12:00:00,25.787,intermediate,1.0,multi-burst,0.5,single-peak,0.6666666666666666
2004-08-11 22:30:00,26.232,prolonged,1.0,multi-burst,1.0,multi-peak,1.0
2004-10-16 09:45:00,27.748,prolonged,1.0,multi-burst,1.0,single-peak,1.0
2005-01-08 07:15:00,22.244,prolonged,1.0,multi-burst,1.0,multi-peak,1.0
2005-03-28 15:30:00,22.574,intermediate,0.6666666666666666,multi-burst,0.8333333333333334,single-peak,1.0
2005-10-12 01:15:00,21.266,intermediate,1.0,single-burst,0.3333333333333333,single-peak,1.0
2005-10-24 13:45:00,21.296,prolonged,1.0,multi-burst,1.0,single-peak,0.6666666666666666
2006-11-15 22:30:00,20.218,prolonged,0.6666666666666666,multi-burst,0.9444444444444444,single-peak,1.0
2007-06-25 03:30:00,18.77,prolonged,0.6666666666666666,multi-burst,1.0,multi-peak,1.0
2007-08-19 06:00:00,24.376,intermediate,1.0,multi-burst,1.0,single-peak,0.8888888888888888
2007-11-21 20:00:00,22.514,prolonged,1.0,multi-burst,1.0,multi-peak,0.5555555555555556
2008-01-08 22:15:00,35.14,prolonged,1.0,multi-burst,1.0,multi-peak,1.0
2008-02-29 18:45:00,20.507,concentrated,1.0,single-burst,0.6666666666666666,single-peak,1.0
2008-08-07 03:00:00,34.64,intermediate,1.0,multi-burst,1.0,single-peak,1.0
2008-08-20 01:45:00,19.107,intermediate,1.0,multi-burst,1.0,multi-peak,0.7222222222222222
2008-10-25 22:30:00,28.767,prolonged,1.0,multi-burst,1.0,single-peak,1.0
2008-12-19 17:45:00,20.943,prolonged,1.0,multi-burst,1.0,multi-peak,0.6666666666666666
2009-11-01 18:45:00,31.564,intermediate,1.0,multi-burst,0.7777777777777778,single-peak,1.0
2009-11-19 11:00:00,21.827,prolonged,1.0,multi-burst,1.0,single-peak,0.6666666666666666
2010-01-16 11:00:00,24.874,prolonged,1.0,multi-burst,0.8888888888888888,multi-peak,0.4444444444444444
2010-02-26 09:30:00,26.328,prolonged,0.6666666666666666,multi-burst,1.0,single-peak,1.0
2010-03-30 19:45:00,29.665,prolonged,0.6666666666666666,multi-burst,1.0,multi-peak,0.4444444444444444
2010-12-11 02:45:00,23.698,concentrated,1.0,single-burst,0.7777777777777778,single-peak,1.0
2011-02-07 12:00:00,26.97,prolonged,1.0,multi-burst,0.8888888888888888,multi-peak,1.0
2011-03-14 09:45:00,18.77,prolonged,1.0,multi-burst,1.0,multi-peak,1.0
2011-07-16 19:30:00,26.885,intermediate,0.6666666666666666,multi-burst,0.5,single-peak,1.0
2011-08-11 15:15:00,32.739,intermediate,1.0,multi-burst,1.0,multi-peak,0.8888888888888888
2011-10-17 18:15:00,38.27,concentrated,1.0,single-burst,0.9166666666666666,single-peak,1.0
2011-12-08 10:30:00,18.38,intermediate,0.6666666666666666,multi-burst,1.0,multi-peak,1.0
2012-06-17 01:45:00,20.276,prolonged,0.6666666666666666,multi-burst,1.0,single-peak,0.6666666666666666
2012-06-22 07:45:00,19.079,intermediate,0.6666666666666666,multi-burst,1.0,multi-peak,0.9444444444444444
2012-07-07 08:30:00,48.645,prolonged,1.0,multi-burst,1.0,multi-peak,1.0
2012-09-26 08:45:00,22.154,prolonged,0.6666666666666666,multi-burst,0.6666666666666666,multi-peak,1.0
2012-10-12 08:15:00,24.656,intermediate,0.6666666666666666,single-burst,0.4722222222222222,single-peak,1.0
2012-10-16 12:45:00,20.305,prolonged,1.0,multi-burst,1.0,multi-peak,1.0
2013-12-30 15:00:00,28.404,prolonged,1.0,multi-burst,1.0,multi-peak,1.0
2014-12-22 07:45:00,19.759,prolonged,1.0,multi-burst,0.8888888888888888,single-peak,1.0
2015-12-06 09:00:00,30.44,prolonged,1.0,multi-burst,1.0,multi-peak,1.0
2015-12-26 20:00:00,24.036,prolonged,1.0,multi-burst,1.0,multi-peak,1.0
2016-01-10 21:15:00,21.619,intermediate,1.0,multi-burst,1.0,multi-peak,1.0
2016-01-27 14:15:00,18.714,intermediate,1.0,multi-burst,1.0,multi-peak,1.0
