scenario_family,smoothing_hours,minimum_separation_hours,prominence_range_fraction,concentrated_limit_hours,prolonged_limit_hours,agreement_with_baseline,concentrated_events,intermediate_events,prolonged_events,single_rainfall_events,single_hydrograph_events,rainfall_agreement_with_baseline,hydrograph_agreement_with_baseline
duration,,,,9.0,30.0,0.9113924050632911,7.0,20.0,52.0,,,,
duration,,,,9.0,36.0,0.9873417721518988,7.0,26.0,46.0,,,,
duration,,,,9.0,42.0,0.8481012658227848,7.0,37.0,35.0,,,,
duration,,,,12.0,30.0,0.9240506329113924,8.0,19.0,52.0,,,,
duration,,,,12.0,36.0,1.0,8.0,25.0,46.0,,,,
duration,,,,12.0,42.0,0.8607594936708861,8.0,36.0,35.0,,,,
duration,,,,15.0,30.0,0.8734177215189873,12.0,15.0,52.0,,,,
duration,,,,15.0,36.0,0.9493670886075949,12.0,21.0,46.0,,,,
duration,,,,15.0,42.0,0.810126582278481,12.0,32.0,35.0,,,,
peak morphology,1.0,4.0,0.075,,,,,,,3.0,27.0,0.9240506329113924,0.8734177215189873
peak morphology,1.0,4.0,0.1,,,,,,,3.0,32.0,0.9240506329113924,0.9367088607594937
peak morphology,1.0,4.0,0.15,,,,,,,4.0,44.0,0.9367088607594937,0.9113924050632911
peak morphology,1.0,6.0,0.075,,,,,,,5.0,27.0,0.9493670886075949,0.8734177215189873
peak morphology,1.0,6.0,0.1,,,,,,,5.0,32.0,0.9493670886075949,0.9367088607594937
peak morphology,1.0,6.0,0.15,,,,,,,6.0,44.0,0.9620253164556962,0.9113924050632911
peak morphology,1.0,9.0,0.075,,,,,,,7.0,27.0,0.9493670886075949,0.8734177215189873
peak morphology,1.0,9.0,0.1,,,,,,,8.0,32.0,0.9367088607594937,0.9367088607594937
peak morphology,1.0,9.0,0.15,,,,,,,9.0,45.0,0.9493670886075949,0.8987341772151899
peak morphology,1.0,12.0,0.075,,,,,,,7.0,28.0,0.9493670886075949,0.8607594936708861
peak morphology,1.0,12.0,0.1,,,,,,,9.0,33.0,0.9240506329113924,0.9240506329113924
peak morphology,1.0,12.0,0.15,,,,,,,10.0,48.0,0.9367088607594937,0.8607594936708861
peak morphology,3.0,4.0,0.075,,,,,,,3.0,29.0,0.9240506329113924,0.8987341772151899
peak morphology,3.0,4.0,0.1,,,,,,,7.0,37.0,0.9746835443037974,1.0
peak morphology,3.0,4.0,0.15,,,,,,,12.0,46.0,0.9113924050632911,0.8860759493670886
peak morphology,3.0,6.0,0.075,,,,,,,5.0,29.0,0.9493670886075949,0.8987341772151899
peak morphology,3.0,6.0,0.1,,,,,,,9.0,37.0,1.0,1.0
peak morphology,3.0,6.0,0.15,,,,,,,15.0,46.0,0.9240506329113924,0.8860759493670886
peak morphology,3.0,9.0,0.075,,,,,,,7.0,29.0,0.9240506329113924,0.8987341772151899
peak morphology,3.0,9.0,0.1,,,,,,,12.0,38.0,0.9620253164556962,0.9873417721518988
peak morphology,3.0,9.0,0.15,,,,,,,18.0,46.0,0.8860759493670886,0.8860759493670886
peak morphology,3.0,12.0,0.075,,,,,,,7.0,31.0,0.9240506329113924,0.8734177215189873
peak morphology,3.0,12.0,0.1,,,,,,,12.0,40.0,0.9620253164556962,0.9620253164556962
peak morphology,3.0,12.0,0.15,,,,,,,18.0,49.0,0.8860759493670886,0.8481012658227848
peak morphology,5.0,4.0,0.075,,,,,,,10.0,38.0,0.9113924050632911,0.9367088607594937
peak morphology,5.0,4.0,0.1,,,,,,,13.0,41.0,0.9240506329113924,0.9493670886075949
peak morphology,5.0,4.0,0.15,,,,,,,24.0,49.0,0.810126582278481,0.8481012658227848
peak morphology,5.0,6.0,0.075,,,,,,,9.0,38.0,0.9240506329113924,0.9367088607594937
peak morphology,5.0,6.0,0.1,,,,,,,12.0,41.0,0.9367088607594937,0.9493670886075949
peak morphology,5.0,6.0,0.15,,,,,,,24.0,49.0,0.810126582278481,0.8481012658227848
peak morphology,5.0,9.0,0.075,,,,,,,11.0,39.0,0.8987341772151899,0.9240506329113924
peak morphology,5.0,9.0,0.1,,,,,,,13.0,42.0,0.9240506329113924,0.9367088607594937
peak morphology,5.0,9.0,0.15,,,,,,,25.0,50.0,0.7974683544303798,0.8354430379746836
peak morphology,5.0,12.0,0.075,,,,,,,14.0,40.0,0.8860759493670886,0.9113924050632911
peak morphology,5.0,12.0,0.1,,,,,,,15.0,43.0,0.8987341772151899,0.9240506329113924
peak morphology,5.0,12.0,0.15,,,,,,,26.0,52.0,0.7848101265822784,0.810126582278481
