flow_peak_datetime,peak_flow_m3s,rainfall_duration_10_90_hours,rainfall_duration_class,rainfall_peak_count,rainfall_structure,hydrograph_peak_count,hydrograph_structure,rainfall_centroid_to_flow_peak_hours,rising_limb_10_percent_hours,recession_half_time_hours
1992-11-02 09:00:00,25.787,30.0,intermediate,3,multi-burst,2,multi-peak,15.039924833766989,7.5,9.25
1992-11-27 20:00:00,19.023,66.0,prolonged,5,multi-burst,1,single-peak,24.766198834442562,7.5,4.5
1993-01-23 21:00:00,30.035,64.0,prolonged,4,multi-burst,2,multi-peak,26.7285342584562,5.25,10.5
1993-05-15 03:00:00,54.639,33.0,intermediate,2,multi-burst,1,single-peak,19.613805016909552,29.0,5.75
1993-10-07 18:30:00,54.554,40.0,prolonged,3,multi-burst,2,multi-peak,24.677321874840615,40.0,4.25
1993-12-09 06:00:00,18.297,56.0,prolonged,4,multi-burst,3,multi-peak,19.61991626794258,15.5,5.0
1993-12-29 11:00:00,19.418,44.0,prolonged,3,multi-burst,1,single-peak,16.51132816433391,5.75,5.5
1994-02-27 21:30:00,19.588,48.0,prolonged,4,multi-burst,1,single-peak,16.844606735060573,18.5,21.0
1994-03-03 08:30:00,20.096,66.0,prolonged,2,multi-burst,3,multi-peak,30.26332979733126,5.5,3.25
1994-03-23 10:30:00,18.491,29.0,intermediate,2,multi-burst,1,single-peak,10.26774870024903,4.75,8.5
1994-12-12 04:00:00,24.469,33.0,intermediate,4,multi-burst,1,single-peak,18.87045940627941,34.0,11.5
1995-01-31 11:30:00,19.674,8.0,concentrated,1,single-burst,2,multi-peak,9.249802097763705,5.5,5.0
1995-11-15 16:30:00,38.456,8.0,concentrated,1,single-burst,2,multi-peak,5.2263448419517715,8.0,16.0
1996-12-18 16:30:00,19.532,12.0,concentrated,2,multi-burst,1,single-peak,7.548363897878453,7.75,5.5
1997-02-17 20:00:00,19.731,25.0,intermediate,3,multi-burst,1,single-peak,8.676764040320911,5.25,7.5
1997-07-01 08:00:00,26.905,55.0,prolonged,2,multi-burst,1,single-peak,13.21735422326109,6.25,4.75
1997-12-11 10:00:00,23.422,44.0,prolonged,3,multi-burst,2,multi-peak,20.87209302325582,5.0,12.0
1998-04-05 10:00:00,19.22,49.0,prolonged,4,multi-burst,3,multi-peak,28.546709176848296,47.5,9.5
1998-10-16 16:45:00,21.442,41.0,prolonged,2,multi-burst,3,multi-peak,14.493298687089712,7.5,4.25
