model,return_period_years,flow_m3s,lower_95_m3s,median_m3s,upper_95_m3s
GEV,2,31.60454766785226,28.40019679831803,31.49119221879242,35.36792259046942
GEV,5,43.57661673293149,38.26982353174307,43.31330294328754,48.72346725726688
GEV,10,52.15186586306122,45.200393833546066,51.89954460889183,59.27787508458685
GEV,20,60.899581000836164,51.11993921219202,60.46738962728254,72.24205795014613
GEV,50,73.034505758374,57.524123218506524,72.308439405879,94.41417656034915
GEV,100,82.76906357995729,61.764303644125036,82.37704920882348,117.96596927501191
GEV,200,93.05095283041524,65.73298107442392,92.80004941535992,146.98178158144412
Gumbel,2,32.12476229700534,29.169297466987107,32.06518507576334,35.302976690947055
Gumbel,5,43.57975483377045,38.30130295379672,43.40640966815246,48.67037225278907
Gumbel,10,51.16395662489782,44.5102650727745,50.987840353600674,57.54312979696374
Gumbel,20,58.43890506862522,50.471141776876514,58.29144254762005,66.1052310603326
Gumbel,50,67.85557960688995,57.993503928096544,67.67286651366845,77.25282812097063
Gumbel,100,74.91205204682572,63.58962358725695,74.71314124824477,85.72444603408212
Gumbel,200,81.94277660415408,69.13753960772684,81.61370714693183,94.20360254111405
Log-Pearson III,2,31.65999915493091,28.4068049953601,31.55296105770271,35.777984923951465
Log-Pearson III,5,43.82697577499299,38.55036199168499,43.608051970274445,49.106380349794556
Log-Pearson III,10,52.354347217569156,45.37529025301689,52.21118162574331,59.661495672823236
Log-Pearson III,20,60.8825409683967,51.15980765358818,60.50586762388303,72.76893364561077
Log-Pearson III,50,72.4769753351151,57.50229133247652,72.11068048384791,94.87254259157915
Log-Pearson III,100,81.62515575772916,61.584625971280815,81.57456189693852,116.3617005194764
Log-Pearson III,200,91.1766185189052,64.45198760860283,90.95317429837831,141.52576443475695
