flow_peak_datetime,peak_flow_m3s,peak_hour,rainfall_24h_mm,rainfall_48h_mm,rainfall_72h_mm,maximum_hourly_rainfall_mm,hours_from_rainfall_maximum_to_flow_peak,mean_disaggregation_fraction,maximum_disaggregation_fraction,maximum_gauge_distance_km
1992-11-02 09:00:00,25.787,1992-11-02 09:00:00,22.837000000000003,33.873,34.59,4.174,3.0,0.0136986301369863,1.0,8.0784
1992-11-27 20:00:00,19.023,1992-11-27 20:00:00,18.011000000000003,21.661,28.999000000000002,3.192,7.0,0.0,0.0,17.8245
1993-01-23 21:00:00,30.035,1993-01-23 21:00:00,21.4,29.637,41.507999999999996,3.831,5.0,0.0,0.0,8.0784
1993-05-15 03:00:00,54.639,1993-05-15 03:00:00,45.571,82.202,82.202,4.301,33.0,0.0958904109589041,1.0,8.0784
1993-10-07 18:30:00,54.554,1993-10-07 18:00:00,35.229,78.428,78.428,6.153999999999999,3.0,0.20164383561643837,0.92,8.0784
1993-12-09 06:00:00,18.297,1993-12-09 06:00:00,26.52,27.679000000000002,33.44,3.572,15.0,0.05095890410958904,0.45,8.0784
1993-12-29 11:00:00,19.418,1993-12-29 11:00:00,7.694999999999999,9.204,9.931000000000001,1.5810000000000002,8.0,0.5923287671232877,0.92,8.492899999999999
1994-02-27 21:30:00,19.588,1994-02-27 21:00:00,26.348999999999997,30.104,34.506,2.9420000000000006,49.0,0.1779452054794521,0.63,8.492899999999999
1994-03-03 08:30:00,20.096,1994-03-03 08:00:00,11.046,11.614,17.911,2.629,4.0,0.02849315068493151,0.08,17.8245
1994-03-23 10:30:00,18.491,1994-03-23 10:00:00,17.785,22.875,22.889,5.0,2.0,0.3287671232876712,1.0,8.0784
1994-12-12 04:00:00,24.469,1994-12-12 04:00:00,38.983999999999995,58.415000000000006,58.44500000000001,4.115,11.0,0.08,0.08,8.0784
1995-01-31 11:30:00,19.674,1995-01-31 11:00:00,18.617,19.218,20.212,6.729,3.0,0.0,0.0,8.492899999999999
1995-11-15 16:30:00,38.456,1995-11-15 16:00:00,38.401,38.401,38.406,6.001,4.0,0.5753424657534246,1.0,8.492899999999999
1996-12-18 16:30:00,19.532,1996-12-18 16:00:00,27.355999999999998,27.355999999999998,27.81,3.953,8.0,0.43232876712328766,1.0,8.492899999999999
1997-02-17 20:00:00,19.731,1997-02-17 20:00:00,16.825,19.416,19.444,3.5010000000000003,4.0,0.23424657534246576,0.45,8.0784
1997-07-01 08:00:00,26.905,1997-07-01 08:00:00,26.785999999999998,26.881999999999998,31.657999999999994,5.191,5.0,0.3287671232876712,1.0,8.0784
1997-12-11 10:00:00,23.422,1997-12-11 10:00:00,17.152,27.113,30.014000000000003,5.501,4.0,0.0,0.0,8.0784
1998-04-05 10:00:00,19.22,1998-04-05 10:00:00,18.674999999999997,33.177,44.852,3.0,25.0,0.0,0.0,8.0784
1998-10-16 16:45:00,21.442,1998-10-16 16:00:00,22.462,28.066,29.247999999999998,3.464,3.0,0.05917808219178083,0.24,8.0784
1998-11-03 01:00:00,30.406,1998-11-03 01:00:00,32.018,32.045,32.072,4.288,6.0,0.4171232876712329,0.68,8.0784
1998-12-27 02:00:00,21.619,1998-12-27 02:00:00,16.304000000000002,33.084,35.163,3.116,42.0,0.008767123287671232,0.08,8.0784
1999-01-19 15:15:00,23.179,1999-01-19 15:00:00,18.149,19.743,20.066,3.529,3.0,0.2602739726027397,1.0,8.0784
1999-11-05 11:30:00,21.413,1999-11-05 11:00:00,27.673,27.677,30.133000000000003,5.626,3.0,0.30246575342465754,0.92,7.3498
1999-11-28 10:45:00,26.232,1999-11-28 10:00:00,27.627,43.167,43.948,4.836000000000001,2.0,0.0,0.0,7.3498
1999-12-03 10:30:00,23.422,1999-12-03 10:00:00,23.809,26.111000000000004,30.825000000000003,3.111,4.0,0.005753424657534247,0.42,7.3498
1999-12-12 08:15:00,35.714,1999-12-12 08:00:00,30.145,32.753,37.584,4.321,4.0,0.0,0.0,7.3498
1999-12-25 01:15:00,20.103,1999-12-25 01:00:00,17.022,21.483,24.430999999999997,5.337999999999999,4.0,0.009863013698630137,0.08,7.3498
2000-04-26 23:45:00,88.08,2000-04-26 23:00:00,56.97200000000001,93.83700000000002,97.899,6.949000000000001,5.0,0.0,0.0,8.431
2000-11-07 11:45:00,50.571,2000-11-07 11:00:00,63.768,73.69800000000001,73.72,5.48,18.0,0.30246575342465754,0.96,15.5955
2000-12-08 08:15:00,31.667,2000-12-08 08:00:00,23.662999999999997,24.029,32.738,4.925,1.0,0.22027397260273976,0.67,15.5955
2001-02-06 21:30:00,24.656,2001-02-06 21:00:00,18.535999999999998,23.348999999999997,29.527999999999995,3.4210000000000003,12.0,0.18917808219178087,0.56,15.8312
2001-03-11 23:45:00,20.017,2001-03-11 23:00:00,18.740000000000002,19.679000000000002,19.935,5.379000000000001,2.0,0.15410958904109592,0.39,8.431
2001-08-19 23:30:00,21.207,2001-08-19 23:00:00,31.496000000000002,40.827,41.35,4.994,4.0,0.27561643835616434,1.0,15.6414
2002-01-24 06:45:00,19.759,2002-01-24 06:00:00,21.246000000000002,23.169,26.88,3.047,2.0,0.0,0.0,8.431
2002-08-03 05:00:00,23.728,2002-08-03 05:00:00,25.93,26.152,38.575,6.891,5.0,0.14465753424657535,0.44,15.8312
2002-10-22 20:15:00,38.53,2002-10-22 20:00:00,58.324,74.333,74.50200000000001,5.069999999999999,15.0,0.08438356164383562,0.44,8.431
2002-11-15 00:00:00,35.104,2002-11-15 00:00:00,28.966,31.127000000000002,32.739999999999995,5.303999999999999,3.0,0.0,0.0,8.431
2004-02-01 22:30:00,18.77,2004-02-01 22:00:00,11.16,30.386999999999997,31.759999999999998,2.955,3.0,0.0,0.0,15.6414
2004-06-24 12:00:00,25.787,2004-06-24 12:00:00,47.128,70.152,71.307,5.175,24.0,0.4236986301369863,0.86,16.2875
2004-08-11 22:30:00,26.232,2004-08-11 22:00:00,8.949000000000002,26.919,51.885000000000005,7.082999999999999,53.0,0.026712328767123285,0.15,15.6414
2004-10-16 09:45:00,27.748,2004-10-16 09:00:00,25.837,31.494,36.129999999999995,3.865,6.0,0.0,0.0,15.6414
