quality_subset,rainfall_duration_hours,events,spearman_rho,spearman_p,bootstrap_lower_95,bootstrap_upper_95,median_lag_hours
All events,24,79,0.5176799960899002,1.0307328865043332e-06,0.3358471308367761,0.666375219079262,5.0
All events,48,79,0.46143265863559896,1.8685119449865443e-05,0.2788236186921338,0.6153236786787887,5.0
All events,72,79,0.5383117288284937,3.1067511261048325e-07,0.3803337501215985,0.6836610500042006,5.0
Mean disaggregation ≤ 0.25,24,57,0.5137430355638157,4.366140005042421e-05,0.2866305454504725,0.7032751840215891,4.0
Mean disaggregation ≤ 0.25,48,57,0.5064501533554966,5.830898199020931e-05,0.27881103487306597,0.6853619875260076,4.0
Mean disaggregation ≤ 0.25,72,57,0.5811940927883142,2.1332564523510384e-06,0.37060913286386027,0.7331632765231572,4.0
Mean disaggregation ≤ 0.10,24,43,0.5726908990734084,5.9928596913855475e-05,0.3075615486964944,0.7676451511291035,4.0
Mean disaggregation ≤ 0.10,48,43,0.5134053451010195,0.00043018987918239397,0.24967051008079227,0.7162256353633977,4.0
Mean disaggregation ≤ 0.10,72,43,0.582282319907158,4.2002286866070634e-05,0.3500365993931595,0.7595228620017909,4.0
No statistical disaggregation,24,27,0.5715158057732409,0.001845387405746592,0.20231317436605983,0.8303381090675792,4.0
No statistical disaggregation,48,27,0.4677148581434856,0.013889843109071782,0.12692132946380655,0.7233700245172805,4.0
No statistical disaggregation,72,27,0.46252481076199786,0.015132350836624935,0.1075021032956252,0.725075360803427,4.0
Gauge distance ≤ 10 km,24,48,0.6473605666729342,6.607369443211141e-07,0.4412009950378667,0.782444601346242,5.0
Gauge distance ≤ 10 km,48,48,0.5407517998654846,7.251360330146013e-05,0.30956557779073895,0.7174973042076939,5.0
Gauge distance ≤ 10 km,72,48,0.5919392067389189,9.363854002716768e-06,0.36046607345309994,0.7679792770094386,5.0
Disaggregation ≤ 0.10 and distance ≤ 10 km,24,26,0.7515814779019859,9.607685569355783e-06,0.5049179215532613,0.8924202697412902,4.0
Disaggregation ≤ 0.10 and distance ≤ 10 km,48,26,0.652077287697492,0.00030677255840764935,0.3384628096124322,0.844196834312731,4.0
Disaggregation ≤ 0.10 and distance ≤ 10 km,72,26,0.7057616789762052,5.630206897005243e-05,0.4158840784594489,0.8767515928079899,4.0
