water_year,peak_datetime,peak_flow_m3s,quality_flag,completeness,station_id,station_name
1994,1993-10-07 18:30:00,54.554,006,1.0,19006,Water of Leith at Murrayfield
1995,1994-12-12 04:00:00,24.469,000,1.0,19006,Water of Leith at Murrayfield
1996,1995-11-15 16:30:00,38.456,000,1.0,19006,Water of Leith at Murrayfield
1997,1997-07-01 08:00:00,26.905,000,1.0,19006,Water of Leith at Murrayfield
1998,1997-12-11 10:00:00,23.422,000,1.0,19006,Water of Leith at Murrayfield
1999,1998-11-03 01:00:00,30.406,000,1.0,19006,Water of Leith at Murrayfield
2000,2000-04-26 23:45:00,88.08,006,1.0,19006,Water of Leith at Murrayfield
2001,2000-11-07 11:45:00,50.571,000,1.0,19006,Water of Leith at Murrayfield
2002,2002-08-03 05:00:00,23.728,000,1.0,19006,Water of Leith at Murrayfield
2003,2002-10-22 20:15:00,38.53,000,1.0,19006,Water of Leith at Murrayfield
2004,2004-08-11 22:30:00,26.232,000,1.0,19006,Water of Leith at Murrayfield
2005,2004-10-16 09:45:00,27.748,000,1.0,19006,Water of Leith at Murrayfield
2006,2005-10-24 13:45:00,21.296,000,1.0,19006,Water of Leith at Murrayfield
2007,2007-08-19 06:00:00,24.376,000,1.0,19006,Water of Leith at Murrayfield
2008,2008-01-08 22:15:00,35.14,000,1.0,19006,Water of Leith at Murrayfield
2009,2008-10-25 22:30:00,28.767,000,1.0,19006,Water of Leith at Murrayfield
2010,2009-11-01 18:45:00,31.564,000,1.0,19006,Water of Leith at Murrayfield
2011,2011-08-11 15:15:00,32.739,000,1.0,19006,Water of Leith at Murrayfield
2012,2012-07-07 08:30:00,48.645,000,1.0,19006,Water of Leith at Murrayfield
2013,2012-10-12 08:15:00,24.656,000,1.0,19006,Water of Leith at Murrayfield
2014,2013-12-30 15:00:00,28.404,000,1.0,19006,Water of Leith at Murrayfield
2015,2014-12-22 07:45:00,19.759,000,1.0,19006,Water of Leith at Murrayfield
2016,2015-12-06 09:00:00,30.44,000,1.0,19006,Water of Leith at Murrayfield
