model,return_period_years,flow_m3s,lower_95_m3s,median_m3s,upper_95_m3s
GEV,2,31.437428878815513,27.711721465972914,31.313937675829465,39.19388034973118
GEV,5,43.618550105272966,36.55569885234036,43.46178683016101,52.71866685462166
GEV,10,53.862081687532815,43.109963565427265,53.42696976880892,68.00410673241306
GEV,20,65.72061701093062,49.16193173929989,65.68600765828899,93.7471477785799
GEV,50,84.70100787582626,56.80255285532516,84.22118244810704,146.5549820438408
GEV,100,102.20490525082235,58.66130228151964,102.33368253361346,211.7663930369938
GEV,200,123.05040927076385,61.34597096591628,123.18427538813263,309.9118629119239
Gumbel,2,32.98141874125303,29.119695982833566,32.99130806670868,38.28690206183459
Gumbel,5,43.94148212640176,36.84741151346964,43.904653130331944,52.69921550640064
Gumbel,10,51.19799775395262,41.90500663104353,50.86856914345405,62.41629032632504
Gumbel,20,58.15862176230821,46.76370151694897,57.7816398392574,71.58781606330622
Gumbel,50,67.16843556056699,53.06887588206499,66.71772975312808,83.52840692127103
Gumbel,100,73.92002312983237,57.640948454637794,73.37419200877935,92.59348949979538
Gumbel,200,80.64697529016975,62.20791901516981,80.09763017968163,101.64414005604071
Log-Pearson III,2,31.55557209676756,27.35290076532107,31.3975342672103,39.373991424391136
Log-Pearson III,5,44.08687629332115,36.929218471183866,43.930668295708614,53.26437479304501
Log-Pearson III,10,54.14551651173299,43.340920445751266,53.91804164164116,69.07864961459003
Log-Pearson III,20,65.23554331890732,49.27796857817336,65.52556143564986,89.84961870139168
Log-Pearson III,50,81.95722147864907,56.247812429946514,82.65566063076903,131.20644683816235
Log-Pearson III,100,96.48943427674412,57.713668650804,97.31014250745676,177.53304968559644
Log-Pearson III,200,112.92769915858328,57.80213640658717,113.5166190865612,235.81604182264218
